Date, HumidityOut, HumidityIn
1393436503355,79.5,71.1
1393437103457,84.2,69.8
1393437703558,77.1,69.2
1393438303658,75.8,69.8
1393439503855,76.1,69.3
1393440103956,76.3,69.5
1393441304414,75.9,70.3
1393441904259,78.2,70.1
1393442504381,76.3,70.4
1393443104463,75.9,70.3
1393443704552,76.2,70.6
1393445504858,76.6,69.5
1393446705058,74.1,69.4
1393448505358,72.6,69.3
1393454191438,70.8,68.7
1393454791382,73.2,68.1
1393455391431,73.5,67.3
1393455991574,74.2,67.7
1393457191736,73.9,67.3
1393457791763,74.1,66.7
1393458391880,74.7,67.2
1393458991993,74.9,68.0
1393459592072,75.2,67.0
1393460192165,74.9,66.2
1393460792270,74.9,67.2
1393461392370,75,66.4
1393461992473,73.5,65.6
1393463192686,72.9,66.8
1393463792773,73.7,65.9
1393464392903,74.2,65.6
1393464992972,74.6,66.2
1393465593073,74.9,66.9
1393466193165,75.5,66.1
1393466793326,75.7,65.5
1393467393371,75.7,65.2
1393467993475,75.8,65.0
1393468593572,75.8,64.8
1393469793776,75.7,66.3
1393470393865,75.7,65.5
1393470993995,75.7,65.0
1393471594071,75.7,64.6
1393472194210,75.7,64.3
1393472794274,75.7,65.5
1393473394375,75.7,65.6
1393473994481,75.6,64.7
1393474594560,75.6,64.2
1393475194673,75.6,63.9
1393475794764,75.6,64.8
1393494339652,66.4,65.2
1393494939742,66.1,65.1
1393495539845,66,65.1
1393496139945,65.8,65.0
1393501993386,68.7,66.7
1393502293293,68,66.0
1393502593359,68.3,66.0
1393502893462,68.4,65.9
1393503793758,68.2,65.8
1393504093840,68.2,65.7
1393504393952,68.2,65.4
1393505294230,68,65.4
1393505594303,68.3,65.4
1393506194502,68.8,65.6
1393506494605,68.8,65.6
1393749759226,72.7
1393750024521,72.7
1393750084194,72.7
1393750144277,72.7
1393750204303,72.7
1393750264346,72.7
1393750324413,72.7
1393750384426,73.6
1393750444456,73.3
1393750504513,73.2
1393750564553,73.3
1393750624604,72.8
1393750684656,72.7
1393750744695,72.7
1393750804753,72.7
1393750864796,72.7
1393750924856,72.7
1393750984874,72.7
1393751044916,72.7
1393751104952,72.7
1393751164996,72.7
1393751225043,72.7
1393751285093,72.7
1393751345152,72.7
1393751405175,72.7
1393751465216,72.7
1393751525256,72.7
1393751585293,72.5
1393751645348,72.3
1393751705386,72.3
1393751765432,72.2
1393751825513,72.2
1393751885546,72.3
1393751945586,72.2
1393752005643,72.2
1393752065696,72.1
1393752125726,72.1
1393752185766,72
1393752245836,71.9
1393752305876,71.8
1393752365915,71.9
1393752425957,72.1
1393752486003,72.5
1393752546056,72.5
1393752606093,72.4
1393752666135,72.4
1393752726175,72.5
1393752786216,72.9
1393752846256,73.1
1393752906293,73.4
1393752966326,73.6
1393753026366,73.7
1393753086406,73.9
1393753146465,74.1
1393753206506,74.2
1393753266576,74.3
1393753326636,74.4
1393753386656,74.6
1393753446695,74.7
1393753506755,74.8
1393753566773,74.8
1393753626832,75
1393753686865,75.1
1393753746913,75.2
1393753806963,75.2
1393753867013,75.4
1393753927064,75.4
1393753987116,75.3
1393754047136,75.4
1393754107196,75.5
1393754167307,75.5
1393754227293,75.6
1393754287336,75.6
1393754347398,75.7
1393754407466,75.7
1393754467478,75.6
1393754527516,75.6
1393754587534,75.7
