Date, LiquidTemp, TempOut, TempIn
1393386093344,67.78,64.04,66.0
1393386693427,68.00,64.04,66.2
1393387293528,66.76,63.68,65.7
1393387893624,68.79,64.04,66.6
1393388493728,67.21,63.68,66.2
1393389093824,67.21,63.86,65.8
1393389693926,68.22,64.04,66.6
1393390294027,66.76,64.04,65.8
1393390894127,70.25,64.22,66.7
1393391494225,69.01,64.04,69.1
1393392694425,69.13,68.18,70.0
1393393294524,69.13,69.80,70.2
1393393894624,69.13,70.34,70.5
1393394494707,69.13,70.88,70.5
1393395094827,69.13,71.24,70.5
1393395694928,69.24,70.88,70.7
1393397495228,69.46,71.60,71.4
1393400495724,69.80,71.60,71.6
1393401095827,69.80,71.78,71.1
1393402896107,69.80,68.72,68.9
1393404096327,69.69,67.28,68.2
1393405296527,69.58,66.56,67.6
1393406496729,69.46,66.02,67.1
1393407096828,69.46,65.84,66.9
1393407696927,69.35,65.48,66.9
1393408297024,69.35,65.30,66.7
1393408897127,69.24,65.30,66.7
1393409497227,69.24,65.30,66.7
1393410097328,69.13,64.94,66.6
1393410697414,69.13,64.94,66.6
1393411297530,69.01,64.76,66.6
1393413097847,69.01,64.40,66.2
1393414298028,69.13,64.40,66.2
1393415498227,69.01,64.22,66.0
1393416098350,69.01,64.04,66.2
1393416698427,69.01,64.04,66.0
1393417898627,69.01,63.68,66.0
1393418498725,69.01,63.68,66.0
1393419098824,69.01,63.50,65.8
1393419698925,69.01,63.50,66.0
1393420899126,69.01,63.32,65.7
1393422699424,69.01,62.96,65.7
1393423299524,69.01,62.96,65.3
1393423899628,69.01,62.96,65.5
1393424499710,69.01,62.96,65.3
1393425099807,69.13,62.78,65.3
1393428100207,69.13,62.42,64.9
1393428700287,69.01,62.24,65.1
1393430500577,69.13,61.88,64.9
1393431100687,69.13,61.88,64.9
1393432900984,69.13,61.88,64.9
1393434101187,69.13,61.88,64.9
1393434701274,69.13,61.88,64.9
1393435301387,69.13,61.88,64.9
1393435901529,69.24,61.88,65.5
1393436501565,69.24,62.42,65.1
1393437101664,69.24,62.60,65.8
1393437701764,69.24,62.42,66.0
1393438301867,69.24,63.50,65.8
1393439502067,69.24,63.50,66.0
1393440102167,69.13,64.04,66.0
1393441302607,69.01,64.58,66.0
1393441902468,69.01,64.04,66.0
1393442502567,69.01,63.50,66.2
1393454189604,69.46,66.56,66.7
1393454789568,69.46,67.64,66.9
1393455389647,69.58,65.66,67.5
1393455989749,69.91,65.30,66.9
1393457189947,70.25,64.94,66.9
1393457789976,70.36,64.76,67.3
1393458390087,70.59,64.58,66.7
1393458990178,70.70,64.22,66.2
1393459590284,70.81,64.04,66.7
1393460190378,71.04,63.86,67.1
1393460790484,71.15,64.04,66.4
1393461390584,71.04,63.86,66.9
1393461990686,71.26,63.68,67.5
1393463190884,71.26,64.76,66.6
1393463790988,71.26,64.76,66.9
1393464391088,71.38,64.40,67.1
1393464991184,71.60,64.04,66.4
1393465591284,71.60,63.68,66.2
1393466191377,71.60,63.50,66.6
1393466791534,71.71,63.32,66.7
1393467391585,71.83,63.14,66.9
1393467991688,72.05,63.14,66.9
1393468591785,72.28,63.14,67.1
1393469791985,72.28,62.96,66.0
1393470392077,72.28,62.78,66.6
1393470992204,72.39,62.78,66.7
1393471592284,72.50,62.78,66.9
1393472192416,72.72,62.78,66.9
1393472792477,72.61,62.78,66.0
1393473392587,72.61,62.78,66.2
1393473992685,72.61,62.60,66.6
1393474592765,72.72,62.60,66.9
1393475192884,72.84,62.60,66.9
1393475792977,72.84,62.60,66.2
1393494337864,72.16,70.70,70.7
1393494937957,72.16,70.88,70.9
1393495538060,72.05,71.24,71.2
1393496138154,72.05,71.60,71.4
1393501991529,70.36,72.68,73.9
1393502291474,70.47,72.68,73.9
1393502591573,70.47,74.12,74.1
1393502891672,70.59,74.30,74.3
1393503791972,70.81,74.84,74.7
1393504092055,70.81,74.84,74.8
1393504392166,70.93,74.84,74.8
1393505292443,71.04,75.02,74.8
1393505592515,71.15,75.20,74.8
1393506192713,71.26,74.84,74.8
1393506492816,71.26,74.84,74.8
1393749759226,70.81,73.04
1393750024521,70.93,73.04
1393750084194,71.04,73.04
1393750144277,71.04,73.04
1393750204303,71.04,73.04
1393750264346,71.04,73.04
1393750324413,71.15,73.04
1393750384426,71.15,73.04
1393750444456,71.15,73.04
1393750504513,71.26,73.22
1393750564553,71.26,73.22
1393750624604,71.26,73.04
1393750684656,71.38,73.04
1393750744695,71.38,73.04
1393750804753,71.49,73.04
1393750864796,71.49,73.04
1393750924856,71.49,73.04
1393750984874,71.60,73.04
1393751044916,71.49,73.04
1393751104952,71.60,73.04
1393751164996,71.71,73.04
1393751225043,71.71,73.04
1393751285093,71.71,72.86
1393751345152,71.83,72.86
1393751405175,71.83,72.86
1393751465216,71.83,72.86
1393751525256,71.83,72.86
1393751585293,71.94,72.68
1393751645348,71.94,72.68
1393751705386,72.05,72.68
1393751765432,72.05,72.68
