Date, LiquidTemp, TempOut, TempIn
1392061467401,65.30,65.12,65.3
1392061617492,65.30,65.30,65.3
1392061767625,65.30,65.12,65.3
1392062067784,65.41,65.30,65.3
1392062217884,65.41,65.30,65.3
1392062367985,65.41,65.30,65.3
1392062518083,65.41,65.30,65.3
1392062668184,65.41,65.30,65.5
1392062968382,65.30,65.30,65.3
1392063268582,65.41,65.30,65.3
1392063418681,65.41,65.30,65.3
1392063868935,65.41,65.30,65.5
1392064019042,65.41,65.30,65.5
1392064169145,65.41,65.30,65.5
1392064319245,65.41,65.30,65.5
1392064469344,65.53,65.30,65.5
1392064769541,65.53,65.48,65.5
1392064919631,65.41,65.48,65.5
1392065069744,65.41,65.30,65.5
1392065369934,65.41,65.30,65.3
1392065520021,65.30,65.12,65.3
1392065970241,65.41,65.12,65.1
1392066120341,65.30,65.12,65.1
1392066270444,65.30,65.12,65.1
1392066570644,65.19,64.94,65.1
1392066870811,65.30,64.94,65.1
1392067171022,65.30,64.94,65.1
1392067321124,65.30,64.94,65.1
1392067471224,65.30,64.94,65.1
1392067621322,65.30,64.94,65.1
1392067771422,65.30,64.94,65.1
1392067921525,65.19,64.94,65.1
1392068071624,65.19,64.94,65.1
1392068221717,65.19,64.94,65.1
1392068371821,65.19,64.94,65.1
1392068822124,65.08,64.94,64.9
1392068972221,65.08,64.76,64.8
1392069122322,65.08,64.76,64.9
1392069422501,65.08,64.76,64.9
1392069572591,65.08,64.76,64.9
1392069722701,65.08,64.76,64.9
1392069872804,65.19,64.76,64.9
1392070323082,65.19,64.76,64.9
1392070473164,65.08,64.76,64.9
1392070623284,65.19,64.94,64.9
1392070773392,65.19,64.94,64.9
1392070923541,65.19,64.94,64.9
1392071073585,65.19,64.94,64.9
1392071223714,65.08,64.94,64.9
1392071523882,65.08,64.76,64.9
1392071673981,65.08,64.76,64.9
1392071974163,65.08,64.76,64.8
1392072124264,64.96,64.76,64.9
1392072424467,64.96,64.58,64.8
1392072574561,64.96,64.58,64.8
1392072724655,64.96,64.58,64.8
1392073024865,64.96,64.58,64.8
1392073174955,64.96,64.58,64.8
1392073475145,64.96,64.58,64.8
